k,Accuracy_CV,Kappa_CV,AUROC_CV
6,0.653180462894325,0.2797468890324806,0.6922491616784976
7,0.6481402410564754,0.26966465588257665,0.6903338017733411
8,0.6610365977541663,0.2934121452782229,0.7073546922596741
9,0.6745235702715318,0.3236896356963269,0.7237379642873951
10,0.674673036268292,0.3235976756867861,0.7250407060036335
11,0.6754121296982676,0.3240907568711308,0.7254218219368945
12,0.6748187683606511,0.32447753708214916,0.7254025309659935
13,0.6776369876177141,0.3293721675376203,0.728651070226779
14,0.6798600884056778,0.333925397231116,0.7317734314255674
15,0.6863810229799852,0.3448986270326372,0.7372346592697738
16,0.6883091453202648,0.3485883482678293,0.7389269113750225
17,0.6886043434093843,0.34912422582754166,0.7409316199825341
18,0.6920141668725804,0.3569844415486022,0.7444965497307441
19,0.6911238503143619,0.3544798082522732,0.744819426990216
20,0.6967558959997804,0.36595067942093407,0.7484944168017773
21,0.691715564341213,0.3549650111884006,0.7477545970393564
22,0.6903799247728084,0.3530247163511824,0.7458540715850834
23,0.6954210251763996,0.36446933111228763,0.7479534717908247
24,0.6949772396562611,0.3629503260342187,0.7507388229643447
25,0.6969041539686461,0.36425877701562304,0.7491462788878381
26,0.6926055514372786,0.3587246792079789,0.7480642488653094
27,0.6930504351645939,0.3568276161690217,0.7485818480901223
28,0.693348488592373,0.3593617366855296,0.7483679961347364
29,0.6969038245064931,0.3659430881473192,0.7473918335947451
30,0.6927531504818385,0.35733396951905594,0.7479209377809333
31,0.6923102435274414,0.3551710977062803,0.746683170778509
32,0.689493232298273,0.3500404613942451,0.7455046645153622
33,0.6918644812343848,0.35400768182530135,0.746298486691525
34,0.6948296406117014,0.3596836295096354,0.7465343225817438
35,0.6875662081651703,0.3445125787644707,0.7466150884684201
36,0.692161875737858,0.3563559661602015,0.7469721190623473
37,0.6915701617110067,0.35459935036224044,0.7475405218670256
38,0.6891977047470006,0.3475440803769593,0.7457610078576371
39,0.6948312879224665,0.36068111266274466,0.7467277922672718
40,0.6951249485215385,0.3602489841830974,0.7480364072948159
41,0.6909752628833429,0.3536937087389577,0.7479255579530416
42,0.6889009691678336,0.34821356252836466,0.7458026098608241
