method,model,scenario,k,Accuracy,Kappa,AUROC,AUPRC,Precision,Recall,F1_Score,Brier_Score,Specificity,NPV
mean_mode,extra_trees,internal_train_cv,5,0.6761523640136357,0.33420600781030785,0.7292880284219357,0.6079262950258821,0.5645917001338688,0.6561649163749513,0.6069436949091563,0.20997661456179376,0.6884578544061303,0.7648310720936419
mean_mode,extra_trees,internal_train_cv,10,0.6837112790870016,0.3517667499936519,0.7381328601063141,0.6255203207870089,0.5720884196634775,0.6744457409568262,0.6190646197786505,0.20606195255299015,0.6894157088122606,0.7747578040904198
mean_mode,extra_trees,internal_train_cv,15,0.6899362679709501,0.36008576242545975,0.7410127102920729,0.6218451878711282,0.5816013628620103,0.6639439906651109,0.6200508536142391,0.20371432901360043,0.7059386973180076,0.7733473242392445
mean_mode,extra_trees,internal_train_cv,20,0.6875648436342078,0.3523640548261383,0.7459410872970101,0.6297313011000235,0.5805217391304348,0.6491637495138078,0.6129269188395152,0.2007682235840567,0.7112068965517241,0.7670454545454546
mean_mode,extra_trees,internal_train_cv,25,0.6883059137394397,0.3494786982386062,0.7437286801951029,0.6271955333590821,0.5841121495327103,0.632049786075457,0.6071361853166449,0.20049514624002535,0.7229406130268199,0.7614123581336696
mean_mode,extra_trees,internal_train_cv,30,0.6927523343708315,0.3580027455288076,0.748591067327739,0.632724483824304,0.5900216919739696,0.6347724620770129,0.6115795390668916,0.19879596666556973,0.728448275862069,0.7641296156744537
mean_mode,extra_trees,internal_train_cv,35,0.6933451904550171,0.35886365793944075,0.7481734264139809,0.6319429049929772,0.5910079767947788,0.6339945546479969,0.6117470444736348,0.19854408784398025,0.7298850574712644,0.7641012785159188
mean_mode,extra_trees,internal_train_cv,40,0.6911219801393211,0.35464364730498654,0.7494612767517447,0.6340702101124644,0.5880014456089627,0.632827693504473,0.6095916073435744,0.198390130063146,0.7270114942528736,0.7628140703517587
mean_mode,extra_trees,internal_train_cv,42,0.6924559063287387,0.35842320318833765,0.7504502400038151,0.6356809412271021,0.5889526542324247,0.6386619992220925,0.6128008956894944,0.198279981527583,0.7255747126436781,0.7653447840363728
