,original_name,clean_name
0,num__agey,agey
1,num__adlfive,adlfive
2,num__hhres,hhres
3,num__child,child
4,num__comparable_hexp,comparable_hexp
5,num__comparable_exp,comparable_exp
6,num__comparable_itearn,comparable_itearn
7,num__comparable_frec,comparable_frec
8,num__comparable_tgiv,comparable_tgiv
9,num__comparable_ipubpen,comparable_ipubpen
10,num__mstath,mstath
11,cat__ragender,ragender
12,cat__raeducl,raeducl
13,cat__rural,rural
14,cat__shlta,shlta
15,cat__hlthlm,hlthlm
16,cat__hibpe,hibpe
17,cat__diabe,diabe
18,cat__cancre,cancre
19,cat__lunge,lunge
20,cat__hearte,hearte
21,cat__stroke,stroke
22,cat__arthre,arthre
23,cat__livere,livere
24,cat__drinkev,drinkev
25,cat__smokev,smokev
26,cat__stayhospital,stayhospital
27,cat__hipriv,hipriv
28,cat__momliv,momliv
29,cat__dadliv,dadliv
30,cat__ramomeducl,ramomeducl
31,cat__radadeducl,radadeducl
32,cat__lvnear,lvnear
33,cat__kcntf,kcntf
34,cat__socwk,socwk
35,cat__work,work
36,cat__pubpen,pubpen
37,cat__peninc,peninc
38,cat__ftrsp,ftrsp
39,cat__ftrkids,ftrkids
40,cat__painfr,painfr
41,cat__fall,fall
