mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__min_samples_leaf,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.3078006267547608,0.024666584310418925,0.05724186897277832,0.005223191609581514,,1,300,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 300}",0.736276599705844,0.7196721120865065,0.7447167920967404,0.7337449614389898,0.7413371700179407,0.7351495270692043,0.008632646839210355,11
3.341713285446167,0.08538474827623636,0.13168025016784668,0.0022117161199236156,,1,700,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 700}",0.7373075419358441,0.7183989302947502,0.7433945338894196,0.7335224492648944,0.741984901791747,0.734921671435331,0.008970282010726324,12
0.9464366912841797,0.030093188290133983,0.043918800354003903,0.0023313411302215504,,3,300,"{'clf__max_depth': None, 'clf__min_samples_leaf': 3, 'clf__n_estimators': 300}",0.7445264647292088,0.7327411197023429,0.7591276590787297,0.744236818192409,0.7620144924159463,0.7485293108237273,0.01075072422714972,7
2.1696088790893553,0.03028822002258646,0.09916839599609376,0.005281615785433166,,3,700,"{'clf__max_depth': None, 'clf__min_samples_leaf': 3, 'clf__n_estimators': 700}",0.7439516504384412,0.7304156735073544,0.7580418928679605,0.7463431114424848,0.762755423006128,0.7483015502524738,0.01137057966642061,8
0.5310866355895996,0.022548690944163636,0.025773096084594726,0.0024040014647950412,8,1,300,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 300}",0.7479846592072683,0.7381547584442765,0.7703161769845522,0.746494559519094,0.7727160465062093,0.7551332401322801,0.013810680677295538,4
1.3134528636932372,0.07579353738129128,0.07014822959899902,0.010850794883885498,8,1,700,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 700}",0.7489411315696386,0.7381919655833963,0.7702066683753116,0.7467415363824879,0.7727323562990749,0.7553627316419819,0.013656086413768077,3
0.6019778251647949,0.03295477826180161,0.03179945945739746,0.0057444021979609515,8,3,300,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 3, 'clf__n_estimators': 300}",0.748284865861151,0.7390547061217372,0.7687364570469954,0.7479717607586384,0.7739602507048161,0.7556016080986676,0.013379934735806715,2
1.4408153533935546,0.03605701308117126,0.056345796585083006,0.0011606991666764177,8,3,700,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 3, 'clf__n_estimators': 700}",0.7485431832144918,0.7388384396256031,0.7687877163960017,0.7484261049884665,0.7741746079824786,0.7557540104414084,0.013424058017820872,1
1.260293960571289,0.16422073852204516,0.0616546630859375,0.01329630043639831,14,1,300,"{'clf__max_depth': 14, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 300}",0.7390156945246029,0.7294250334282891,0.7523357953353993,0.7419394673687645,0.7623034087467089,0.745003879880753,0.011322368373364384,10
2.967378044128418,0.39072320552701933,0.11758942604064941,0.016124629365201305,14,1,700,"{'clf__max_depth': 14, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 700}",0.7410473256008787,0.7302180105807803,0.7563876138773037,0.7432465807684243,0.763568582679,0.7468936227012773,0.011779187603128693,9
0.8708270072937012,0.07199168634808661,0.04822039604187012,0.009367137318440879,14,3,300,"{'clf__max_depth': 14, 'clf__min_samples_leaf': 3, 'clf__n_estimators': 300}",0.7447615102489156,0.734785186907738,0.76155315827489,0.7488291898692887,0.7682215335865235,0.7516301157774712,0.01193747438779678,5
2.5165312767028807,0.08588120833635116,0.1174964427947998,0.020333524118422874,14,3,700,"{'clf__max_depth': 14, 'clf__min_samples_leaf': 3, 'clf__n_estimators': 700}",0.7464068288868615,0.7342387070519155,0.7608215475663459,0.7486777417926792,0.7675621519606701,0.7515413954516944,0.01163385726522629,6
