Scenario,Model,Variable,Column,Level,N,Prevalence,AUC,Brier,Accuracy,Sensitivity,Specificity,Precision,NPV,F1
Training set,ADABOOST,gender,ragender,Female,3418,45.3%,0.750,0.203,68.1%,67.2%,68.8%,64.1%,71.7%,65.6%
Training set,CATBOOST,gender,ragender,Female,3418,45.3%,0.787,0.188,71.1%,75.8%,67.2%,65.7%,77.1%,70.4%
Training set,EXTRA_TREES,gender,ragender,Female,3418,45.3%,0.791,0.187,69.0%,84.4%,56.3%,61.5%,81.3%,71.1%
Training set,GB,gender,ragender,Female,3418,45.3%,0.765,0.196,68.3%,77.7%,60.5%,62.0%,76.6%,69.0%
Training set,LGB,gender,ragender,Female,3418,45.3%,0.927,0.138,84.1%,83.1%,85.0%,82.1%,85.9%,82.6%
Training set,LR,gender,ragender,Female,3418,45.3%,0.752,0.202,67.8%,69.4%,66.5%,63.2%,72.4%,66.1%
Training set,RF,gender,ragender,Female,3418,45.3%,0.923,0.135,81.5%,91.9%,72.9%,73.7%,91.6%,81.8%
Training set,XGB,gender,ragender,Female,3418,45.3%,0.796,0.187,71.4%,78.2%,65.7%,65.4%,78.5%,71.2%
Training set,ADABOOST,gender,ragender,Male,3329,30.7%,0.758,0.175,74.2%,47.5%,86.0%,60.1%,78.7%,53.1%
Training set,CATBOOST,gender,ragender,Male,3329,30.7%,0.794,0.163,76.2%,55.7%,85.3%,62.8%,81.3%,59.0%
Training set,EXTRA_TREES,gender,ragender,Male,3329,30.7%,0.803,0.159,75.0%,67.0%,78.6%,58.1%,84.3%,62.2%
Training set,GB,gender,ragender,Male,3329,30.7%,0.773,0.169,74.1%,56.7%,81.9%,58.1%,81.0%,57.4%
Training set,LGB,gender,ragender,Male,3329,30.7%,0.936,0.122,85.4%,64.1%,94.8%,84.5%,85.6%,72.9%
Training set,LR,gender,ragender,Male,3329,30.7%,0.757,0.175,73.1%,46.8%,84.7%,57.6%,78.2%,51.6%
Training set,RF,gender,ragender,Male,3329,30.7%,0.930,0.118,84.5%,76.7%,88.0%,73.9%,89.5%,75.3%
Training set,XGB,gender,ragender,Male,3329,30.7%,0.801,0.162,75.8%,57.2%,84.0%,61.4%,81.6%,59.2%
Training set,ADABOOST,rural,rural,Rural,4077,43.1%,0.747,0.201,69.0%,65.5%,71.8%,63.7%,73.3%,64.6%
Training set,CATBOOST,rural,rural,Rural,4077,43.1%,0.783,0.188,71.6%,72.8%,70.7%,65.3%,77.4%,68.8%
Training set,EXTRA_TREES,rural,rural,Rural,4077,43.1%,0.783,0.188,68.9%,80.2%,60.3%,60.5%,80.1%,69.0%
Training set,GB,rural,rural,Rural,4077,43.1%,0.761,0.196,69.0%,74.0%,65.2%,61.7%,76.8%,67.3%
Training set,LGB,rural,rural,Rural,4077,43.1%,0.923,0.140,84.0%,79.7%,87.3%,82.6%,85.0%,81.1%
Training set,LR,rural,rural,Rural,4077,43.1%,0.747,0.202,67.8%,65.9%,69.3%,61.9%,72.8%,63.8%
Training set,RF,rural,rural,Rural,4077,43.1%,0.919,0.136,81.1%,88.5%,75.5%,73.3%,89.7%,80.2%
Training set,XGB,rural,rural,Rural,4077,43.1%,0.788,0.187,71.6%,74.6%,69.3%,64.8%,78.3%,69.4%
Training set,ADABOOST,rural,rural,Urban,2670,30.4%,0.777,0.170,74.2%,46.2%,86.4%,59.9%,78.6%,52.2%
Training set,CATBOOST,rural,rural,Urban,2670,30.4%,0.811,0.157,76.8%,57.2%,85.4%,63.1%,82.0%,60.0%
Training set,EXTRA_TREES,rural,rural,Urban,2670,30.4%,0.829,0.150,76.6%,71.5%,78.9%,59.7%,86.3%,65.1%
Training set,GB,rural,rural,Urban,2670,30.4%,0.794,0.164,74.5%,59.3%,81.2%,57.9%,82.0%,58.6%
Training set,LGB,rural,rural,Urban,2670,30.4%,0.944,0.115,85.9%,66.5%,94.3%,83.7%,86.6%,74.2%
Training set,LR,rural,rural,Urban,2670,30.4%,0.777,0.170,74.4%,48.6%,85.7%,59.8%,79.2%,53.6%
Training set,RF,rural,rural,Urban,2670,30.4%,0.938,0.112,85.9%,80.2%,88.4%,75.1%,91.1%,77.6%
Training set,XGB,rural,rural,Urban,2670,30.4%,0.825,0.155,76.5%,59.5%,84.0%,61.9%,82.6%,60.7%
